שם תחנה,מספר תחנה,תאריך,סוג קרינה(),05-06 LST(kJ/m²),06-07 LST(kJ/m²),07-08 LST(kJ/m²),08-09 LST(kJ/m²),09-10 LST(kJ/m²),10-11 LST(kJ/m²),11-12 LST(kJ/m²),12-13 LST(kJ/m²),13-14 LST(kJ/m²),14-15 LST(kJ/m²),15-16 LST(kJ/m²),16-17 LST(kJ/m²),17-18 LST(kJ/m²),18-19 LST(kJ/m²)
בית דגן קרינה                                     ,2524,23-01-2020,גלובאלית,0,10.8,334.8,1054.8,1566,1530,1461.6,2217.6,1594.8,1486.8,892.8,252,0,0
בית דגן קרינה                                     ,2524,24-01-2020,ישירה,0,0,774,234,108,1490.4,511.2,1364.4,2779.2,723.6,3.6,0,0,0
בית דגן קרינה                                     ,2524,24-01-2020,מפוזרת,0,3.6,180,187.2,507.6,626.4,694.8,640.8,388.8,403.2,356.4,86.4,0,0
בית דגן קרינה                                     ,2524,24-01-2020,גלובאלית,0,3.6,363.6,273.6,615.6,1612.8,1098,1594.8,2008.8,802.8,378,93.6,0,0
בית דגן קרינה                                     ,2524,25-01-2020,ישירה,0,0,7.2,122.4,2394,2340,1908,1594.8,648,1036.8,2365.2,1058.4,0,0
בית דגן קרינה                                     ,2524,25-01-2020,מפוזרת,0,10.8,104.4,403.2,511.2,565.2,770.4,716.4,694.8,637.2,259.2,97.2,0,0
בית דגן קרינה                                     ,2524,25-01-2020,גלובאלית,0,10.8,111.6,482.4,1764,1983.6,2091.6,1796.4,1130.4,1141.2,1008,262.8,0,0
בית דגן קרינה                                     ,2524,26-01-2020,מפוזרת,0,14.4,133.2,198,226.8,248.4,291.6,302.4,302.4,262.8,205.2,86.4,0,0
בית דגן קרינה                                     ,2524,26-01-2020,גלובאלית,0,18,453.6,1144.8,1753.2,2178,2354.4,2322,2066.4,1594.8,957.6,262.8,0,0
בית דגן קרינה                                     ,2524,26-01-2020,ישירה,0,86.4,1746,2660.4,3074.4,3250.8,3196.8,3168,3085.2,2890.8,2437.2,1137.6,0,0
בית דגן קרינה                                     ,2524,27-01-2020,ישירה,0,10.8,561.6,2487.6,2962.8,2847.6,712.8,1040.4,2019.6,1710,1429.2,237.6,0,0
בית דגן קרינה                                     ,2524,27-01-2020,מפוזרת,0,21.6,162,248.4,262.8,374.4,1134,1018.8,644.4,547.2,212.4,151.2,0,0
בית דגן קרינה                                     ,2524,27-01-2020,גלובאלית,0,28.8,439.2,1162.8,1731.6,2077.2,1753.2,1868.4,1875.6,1353.6,723.6,183.6,0,0
בית דגן קרינה                                     ,2524,28-01-2020,ישירה,0,3.6,86.4,608.4,273.6,1022.4,1065.6,522,946.8,356.4,32.4,316.8,0,0
בית דגן קרינה                                     ,2524,28-01-2020,מפוזרת,0,10.8,172.8,536.4,777.6,900,1058.4,997.2,799.2,630,342,198,0,0
בית דגן קרינה                                     ,2524,28-01-2020,גלובאלית,0,14.4,241.2,842.4,1000.8,1609.2,1875.6,1429.2,1393.2,860.4,370.8,259.2,0,0
בית דגן קרינה                                     ,2524,29-01-2020,ישירה,0,3.6,270,1411.2,2325.6,702,612,2145.6,1954.8,2422.8,1062,597.6,0,0
בית דגן קרינה                                     ,2524,29-01-2020,מפוזרת,0,10.8,226.8,428.4,694.8,777.6,918,604.8,705.6,460.8,327.6,187.2,0,0
בית דגן קרינה                                     ,2524,29-01-2020,גלובאלית,0,10.8,306,1004.4,1926,1375.2,1411.2,2052,1915.2,1666.8,698.4,298.8,0,0
בית דגן קרינה                                     ,2524,30-01-2020,ישירה,0,14.4,943.2,2491.2,2437.2,2372.4,3139.2,3092.4,2664,2422.8,1569.6,594,0,0
בית דגן קרינה                                     ,2524,30-01-2020,מפוזרת,0,18,147.6,237.6,532.8,460.8,342,370.8,482.4,396,320.4,147.6,0,0
בית דגן קרינה                                     ,2524,30-01-2020,גלובאלית,0,25.2,489.6,1162.8,1828.8,1987.2,2404.8,2404.8,2113.2,1584,885.6,273.6,0,0
בית דגן קרינה                                     ,2524,31-01-2020,ישירה,0,0,0,334.8,745.2,1872,2811.6,3002.4,2239.2,2300.4,1490.4,403.2,0,0
בית דגן קרינה                                     ,2524,31-01-2020,מפוזרת,0,3.6,75.6,442.8,489.6,741.6,442.8,424.8,446.4,424.8,378,126,0,0
בית דגן קרינה                                     ,2524,31-01-2020,גלובאלית,0,3.6,82.8,626.4,950.4,1969.2,2347.2,2426.4,1839.6,1587.6,918,208.8,0,0
בית דגן קרינה                                     ,2524,01-02-2020,ישירה,0,0,522,532.8,831.6,871.2,532.8,208.8,1699.2,2660.4,1710,838.8,0,0
בית דגן קרינה                                     ,2524,01-02-2020,מפוזרת,0,14.4,223.2,439.2,536.4,835.2,799.2,932.4,824.4,313.2,345.6,183.6,0,0
בית דגן קרינה                                     ,2524,01-02-2020,גלובאלית,0,18,342,680.4,1022.4,1432.8,1263.6,1162.8,1900.8,1630.8,950.4,345.6,0,0
בית דגן קרינה                                     ,2524,02-02-2020,ישירה,0,14.4,1144.8,2419.2,2206.8,2602.8,1425.6,1612.8,2750.4,2743.2,2250,986.4,0,0
בית דגן קרינה                                     ,2524,02-02-2020,מפוזרת,0,25.2,201.6,259.2,514.8,561.6,766.8,669.6,831.6,428.4,244.8,118.8,0,0
בית דגן קרינה                                     ,2524,02-02-2020,גלובאלית,0,28.8,482.4,1184.4,1717.2,2217.6,1832.4,1814.4,2516.4,1792.8,1015.2,306,0,0
